window_size,top_bigrams,model_name,cv_f1,cv_auc,cv_precision,cv_recall,feature_count
3,20,XGBoost,0.20512820512820515,0.5,0.14814814814814814,0.3333333333333333,33
3,50,XGBoost,0.20512820512820515,0.5,0.14814814814814814,0.3333333333333333,60
3,100,XGBoost,0.20512820512820515,0.5,0.14814814814814814,0.3333333333333333,60
5,20,XGBoost,0.20512820512820515,0.5,0.14814814814814814,0.3333333333333333,33
5,50,XGBoost,0.20512820512820515,0.5,0.14814814814814814,0.3333333333333333,60
5,100,XGBoost,0.20512820512820515,0.5,0.14814814814814814,0.3333333333333333,60
10,20,XGBoost,0.20512820512820515,0.5,0.14814814814814814,0.3333333333333333,33
10,50,XGBoost,0.20512820512820515,0.5,0.14814814814814814,0.3333333333333333,60
10,100,XGBoost,0.20512820512820515,0.5,0.14814814814814814,0.3333333333333333,60
3,50,RandomForest,0.18519767479204804,0.5,0.48148148148148145,0.19648827869618005,60
3,100,RandomForest,0.18519767479204804,0.5,0.48148148148148145,0.19648827869618005,60
5,20,RandomForest,0.16024931702662598,0.5,0.48148148148148145,0.15297596281149783,33
5,50,RandomForest,0.15947530090650316,0.5,0.48148148148148145,0.15257387193896063,60
5,100,RandomForest,0.15947530090650316,0.5,0.48148148148148145,0.15257387193896063,60
10,50,RandomForest,0.13139117826617827,0.49999999999999994,0.48148148148148145,0.11332930026214962,60
10,100,RandomForest,0.13139117826617827,0.49999999999999994,0.48148148148148145,0.11332930026214962,60
10,20,RandomForest,0.1255181107032959,0.5,0.48148148148148145,0.10427169456207569,33
3,20,RandomForest,0.12278467106689113,0.5,0.48148148148148145,0.08836275333893713,33
